ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria,YearCert,Era
4015668,ABL,AREF18**,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.9,28.0,17.6,17.6,360,376.0,4.0,,,No,,,,,04/15/2025,2025-04-15,"United States, Canada",ES_1148590_AREF18**_04152025120303_80247440,No,2025,Modern (2023-2026)
4015667,ABL,AREF18B,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.9,28.0,17.6,17.6,360,376.0,4.0,,,No,,,,,04/15/2025,2025-04-15,"United States, Canada",ES_1148590_AREF18B_04152025120303_80247440,No,2025,Modern (2023-2026)
4015665,ABL,AREF18S,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.9,28.0,17.6,17.6,360,376.0,4.0,,,No,,,,,04/15/2025,2025-04-15,"United States, Canada",ES_1148590_AREF18S_04152025120303_80247440,No,2025,Modern (2023-2026)
4015666,ABL,AREF18W,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.9,28.0,17.6,17.6,360,376.0,4.0,,,No,,,,,04/15/2025,2025-04-15,"United States, Canada",ES_1148590_AREF18W_04152025120303_80247440,No,2025,Modern (2023-2026)
2218013,Absocold,ARD369A*14R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.3,18.6,3.6,3.6,262,292.0,10.0,,,No,,No,,,08/18/2014,2014-08-27,United States,ES_0092255_ARD369A*14R/L_08272014021903_2752402,No,2014,Older (2014-2017)
2218024,Absocold,ARD484F*10R/L,,,Compact Refrigerator,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,46.0,18.6,4.8,5.8,346,408.0,15.0,,,No,,No,,,09/05/2014,2014-08-27,United States,ES_0092255_ARD484F*10R/L_08272014021903_2752402,No,2014,Older (2014-2017)
2298477,Amana,AMA43R**E,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,31.7,19.9,4.3,4.3,268,299.0,10.0,,,No,,,,,10/23/2017,2017-05-24,"United States, Canada",ES_22856_AMA43R**E_05172017115223_70134709,No,2017,Older (2014-2017)
2253717,Amana,ART348FFF***,,883049409634;883049409641;883049409658;883049412344,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,65.4,29.8,18.3,22.1,370,412.0,10.0,,,No,,,,,12/14/2015,2015-11-19,"United States, Canada",ES_0022856_ART348FFF***_11222015014057_70054450,Yes,2015,Older (2014-2017)
2272160,Amana,ART348FFF***,,883049409634;883049409641;883049409658;883049412344,Top Freezer,3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,Automatic,No,No,No,Yes,No,65.4,29.8,18.3,22.1,455,496.0,10.0,,,No,,,,,12/14/2015,2016-06-14,"United States, Canada",ES_0022856_ART348FFF***_07112016115240_70084302,Yes,2016,Older (2014-2017)
4529201,Amana,ARTX2314T***,,883049927626;883049927633,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.0,28.0,14.3,17.3,336,373.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,01/25/2026,2026-02-02,"United States, Canada",ES_0022856_ARTX2314T***_02042026102908_80287687,Yes,2026,Modern (2023-2026)
4529202,Amana,ARTX2314T***,,883049927626;883049927633,Top Freezer,3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,Automatic,No,No,No,Yes,No,66.0,28.0,14.3,17.3,420,457.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,01/25/2026,2026-02-02,"United States, Canada",ES_0022856_ARTX2314T***_02042026102909_80287687,Yes,2026,Modern (2023-2026)
4509894,Amana,ARTX2419S***,,883049928333;883049928340;883049928357,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.1,30.0,19.3,23.2,379,421.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/17/2025,2025-09-17,"United States, Canada",ES_0022856_ARTX2419S***_09182025103703_80268330,Yes,2025,Modern (2023-2026)
4509895,Amana,ARTX2419S***,,883049928333;883049928340;883049928357,Top Freezer,3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,Automatic,No,No,No,Yes,No,66.1,30.0,19.3,23.2,463,505.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/17/2025,2025-09-17,"United States, Canada",ES_0022856_ARTX2419S***_09182025103704_80268330,Yes,2025,Modern (2023-2026)
2453054,APPLIANCE BASICS,CR31TABDDSS,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.0,18.5,3.1,3.8,270,358.0,25.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,04/06/2023,2023-04-07,United States,ES_1127347_CR31TABDDSS_040720230222972_5663021,No,2023,Modern (2023-2026)
4005829,ARCTIC CHEF,ACFR320-LIME-AMZ-6COM,,058465802714,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.3,17.8,3.1,3.1,215,243.0,12.0,,,No,,,,,03/25/2025,2024-06-03,"United States, Canada",ES_1120898_ACFR320-LIME-AMZ-6COM_03262025085822_80247939,No,2024,Modern (2023-2026)
4005830,ARCTIC CHEF,ACFR321-PURPLE-COM,,058465793999,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.3,17.8,3.1,3.1,215,243.0,12.0,,,No,,,,,03/25/2025,2024-06-03,"United States, Canada",ES_1120898_ACFR321-PURPLE-COM_03262025085822_80247939,No,2024,Modern (2023-2026)
4005836,ARCTIC CHEF,ACFR321-WHITE-6COM,ACFR321-BLUE-AMZ,058465793975;058465796594,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.3,17.8,3.1,3.1,215,243.0,12.0,,,No,,,,,03/18/2025,2025-03-26,United States,ES_1120898_ACFR321-WHITE-6COM_03192025140516_1636468,No,2025,Modern (2023-2026)
4005839,ARCTIC CHEF,ACFR465-6COM,,058465807740,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,32.5,20.9,4.5,4.5,226,254.0,11.0,,,No,,,,,03/18/2025,2025-03-26,United States,ES_1120898_ACFR465-6COM_03192025134018_7753869,No,2025,Modern (2023-2026)
3619573,ARCTIC CHEF,ACFR551,,058465807726,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.5,30.9,5.5,7.2,338,378.0,11.0,,,No,,,,,08/16/2024,2024-08-06,"United States, Canada",ES_1120898_ACFR551_08142024122105_80221057,No,2024,Modern (2023-2026)
3624322,ARCTIC CHEF,ACFR834-6COM,,058465833831,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.5,17.8,3.1,3.8,320,358.0,11.0,,,No,,,,,08/15/2024,2024-08-21,United States,ES_1120898_ACFR834-6COM_08222024134803_1996728,No,2024,Modern (2023-2026)
4528776,Arctic King,AFRM033AES,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.9,18.6,3.3,3.3,220,245.0,10.0,,,No,,,,,01/10/2026,2026-01-27,Canada,ES_1129046_AFRM033AES_01272026061004_3104338,No,2026,Modern (2023-2026)
3998088,Arctic King,ARB47B5***,"* can be replaced by A to Z or 1 to 9 denotes products with features, which do not have an effect on energy performance",840296514832,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,48.8,18.5,4.7,5.8,333,370.0,10.0,,,No,,No,,,02/15/2025,2025-02-18,"United States, Canada",ES_1030337_ARB47B5***_021820250324157_6462242,No,2025,Modern (2023-2026)
4528777,Arctic King,ARM024S1ARSV,"with compressor options: FZ35S1L, FZ40C1J-U",,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,24.8,17.5,2.4,2.4,213,238.0,11.0,,,No,,,,,01/10/2026,2026-01-27,Canada,ES_1129046_ARM024S1ARSV_012720260605708_8130746,No,2026,Modern (2023-2026)
4439472,Arctic King,ARM17A5ABBT,,840296516843,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,19.3,18.6,1.7,1.7,246,275.0,11.0,,,No,,,,,05/15/2025,2025-05-15,United States,ES_1122227_ARM17A5ABBT_06272025111802_80257961,No,2025,Modern (2023-2026)
4586380,Arctic King,ARM17O5A** ,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,19.3,18.6,1.7,1.7,246,275.0,11.0,,,No,,,,,05/15/2025,2025-05-15,United States,ES_0020877_ARM17O5A**_04022026114823_80288109,No,2025,Modern (2023-2026)
4515606,Arctic King,ARM27A5ASL,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,27.4,18.6,2.7,2.7,255,284.0,10.0,,,No,,,,,11/20/2025,2025-11-20,"United States, Canada",ES_1030337_ARM27A5ASL_11242025124509_80277977,No,2025,Modern (2023-2026)
4515601,Arctic King,ARM33A5ABB,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.9,18.6,3.3,3.3,260,290.0,10.0,,,No,,,,,11/18/2025,2025-11-18,"United States, Canada",ES_1030337_ARM33A5ABB_11242025110731_80277976,No,2025,Modern (2023-2026)
4586377,Arctic King,ARM33O5A**,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.9,18.6,3.3,3.3,260,290.0,10.0,,,No,,,,,05/19/2025,2025-05-19,"United States, Canada",ES_1030337_ARM33O5A**_04022026112500_80288110,No,2025,Modern (2023-2026)
4586378,Arctic King,ARM44O5A**,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.9,19.7,4.4,4.4,269,300.0,10.0,,,No,,,,,05/15/2025,2025-05-15,"United States, Canada",ES_0020877_ARM44O5A**_04022026113150_80288111,No,2025,Modern (2023-2026)
3943312,Arctic King,ARM45D5***,,810040946233,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,46.9,18.5,4.5,5.6,329,369.0,11.0,,,No,,,,,08/06/2024,2024-08-06,"United States, Canada",ES_1030337_ARM45D5***_01242025081056_80241924,No,2024,Modern (2023-2026)
4511288,Arctic King,ARM45D5ASL,,810040946233,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,46.9,18.5,4.5,5.6,329,369.0,11.0,,,No,,,,,09/23/2025,2025-09-23,"United States, Canada",ES_0020877_ARM45D5ASL_10102025105255_80269444,No,2025,Modern (2023-2026)
4586379,Arctic King,ARM45T5A**,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,46.9,18.5,4.5,5.6,329,369.0,11.0,,,No,,,,,10/22/2025,2025-10-22,"United States, Canada",ES_1030337_ARM45T5A**_04022026114349_80288112,No,2025,Modern (2023-2026)
2453235,Arctic King,AU83ETWBR1RCM,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,66.9,24.0,8.3,8.3,167,335.0,50.0,,,No,,,,,04/11/2023,2023-04-11,"United States, Canada",ES_1030337_AU83ETWBR1RCM7_04122023100711_80165973,Yes,2023,Modern (2023-2026)
